Flower;Meaning
Acacia;secret love
Acanthus;art
Aconite;misanthropy
Agrimony;thankfulness
Aloe;grief
Almond;promise
Amaranth (Globe);immortal love
Amaranth;immortality
Amaryllis;pride
Ambrosia;love is reciprocated
Anemone;forsaken
Anemone; sickness (negative)
Anemone; anticipation
Anemone; undying love
Angrec;royalty
Anthurium;hospitality
Anthurium; happiness
Anthurium; abundance
Apple blossom;preference
Arborvitae;everlasting friendship
Arbutus;you are the only one i love
Arum;faith
Arum; purity
Asphodel;my regrets follow you to the grave
Aster;symbol of love
Aster; daintiness
Aster; talisman of love
Aster; trusting
Azalea;take care
Azalea; temperance
Azalea; fragile
Azalea; gratitude
Azalea; passion
Azalea; chinese symbols of womanhood
Baby's breath;innocence
Baby's breath; purity of heart
Bachelor button;single blessedness
Bachelor button; celibacy
Balm;social intercourse
Balm;sympathy
Balsam;ardent love
Balsamine;impatience
Bay wreath;glory
Begonia;beware
Begonia; a fanciful nature
Bellflower;unwavering love
Bells of Ireland;luck
Bird's-foot trefoil;revenge
Bird of paradise flower;liberty
Bird of paradise flower; magnificence
Bird of paradise flower; good perspective
Bird of paradise flower; faithfulness (given by a man to a woman)
Box;constancy
Borage;courage
Broom;humility
Bulrush;docility
Bumblebee Orchid;industry
Buttercup;riches
Cabbage;profit
Camellia japonica;unpretending excellence
Campanula;gratitude
Canterbury Bells;gratitude
Carnation [general];fascination
Carnation [general]; distinction
Carnation [general]; love
Celandine;joys to come
Cherry blossom;a good education
Chestnut;do me justice
Chestnut; chastity
China aster;love of variety
China aster; fidelity
Chrysanthemum [red];i love
Coreopsis;always cheerful
Cowslip;winning grace
Clove;undying love
Clover [red];industry
Columbine;the emblem of deceived lovers
Columbine; ingratitude
Columbine; faithlessness
Coriander;lust
Crocus;youthful joy
Crocus; love
Crocus; abuse not
Crocus; lupercalia
Cypress;death
Cypress; mourning
Cypress; despair
Cypress; sorrow.
Daffodil;uncertainty
Daffodil; chivalry
Daffodil; respect
Daffodil;unrequited love
Daffodil; return my affection
Daffodil; new beginnings
Dahlia;elegance and dignity
Red Dahlia;betrayal and dishonesty
Daisy [general];innocence
Daisy [general]; loyal love
Daisy [general]; purity
Daisy [general]; faith
Daisy [general]; cheer
Daisy [general]; simplicity
Daisy [general];
Daisy [general];
Daisy [general]; dissembling as in shakespeare's hamlet
Dandelion;overcoming hardship
Delphinium;levity
Delphinium; fun
Delphinium; big-hearted
Delphinium; ardent attachment
Delphinium; joy
Eglantine rose;a wound to heal
Elderflower;compassion
Fennel;strength
Fennel;
Fennel; as in shakespeare's hamlet
Fennel; a cuckold
Forget-me-not;true love
Forget-me-not; don't forget me
Foxglove;insecurity
Fungus;resilience
Fungus; loneliness
Fungus; solitude
Fungus; disgust
Gardenia;secret love
Gardenia; joy
Gardenia; sweet love
Gardenia; good luck
Geranium;gentility
Geranium; determination
Gladiolus;strength of character
Gladiolus; honor
Gladiolus; conviction
Gorse;love in all seasons
Heather [purple];solitude
Heather [purple]; beauty
Heather [purple]; admiration
Heliotrope;devotion
Hibiscus;rare and delicate beauty
Hollyhock;ambition
Honeysuckle;devoted affection
Honeysuckle; bonds of love
Houseleek;domestic economy
Hydrangea;frigidness
Hydrangea; heartlessness (negative)
Hydrangea; heartfelt gratitude for being understood
Iris;good news
Ivy;dependence
Ivy; endurance
Ivy; faithfulness
Jasmine;unconditional and eternal love (in the philippines and hinduism)
Jonquil;return my affection
Laurel;ambition
Laurel; success
Laurel; renown
Laurestine;a token
Lavender;devotion
Lavender; distrust
Lemon blossom;discretion
Lilac [purple];first emotion of love
Lily [white];purity
Lily of the valley;sweetness
Lily of the valley; humility
Lily of the valley; returning happiness
Lily of the valley; trust
Linaria bipartita;please notice my love
Linaria bipartita;feelings for you
Lime blossom;fornication
Lobelia;malevolence
Lotus;purity
Lotus; chastity and eloquence
Lotus; rebirth
