Flower;Meaning;AfinnScore;SimilarIndex40;SimilarIndex30
Acacia;secret love;3;[145, 181];[6, 9, 13, 20, 24, 26, 32, 39, 44, 61, 62, 63, 64, 67, 92, 94, 98, 106, 115, 120, 138, 145, 147, 154, 163, 172, 181, 187, 199, 200, 205, 206, 208, 236, 250, 253, 254, 256, 274, 279, 285, 286, 290, 311, 312, 313, 334, 341, 344, 351]
Acanthus;art;0;[];[]
Aconite;misanthropy;0;[];[]
Agrimony;thankfulness;0;[];[]
Aloe;grief;-2;[112, 201, 263, 293];[112, 201, 263, 293, 350]
Almond;promise;1;[100, 221, 328];[100, 221, 296, 328]
Amaranth (Globe);immortal love;5;[20, 62, 147, 181, 250];[9, 13, 20, 24, 26, 32, 39, 44, 61, 62, 63, 67, 69, 70, 92, 94, 98, 106, 115, 120, 138, 145, 147, 154, 163, 172, 181, 187, 199, 200, 205, 206, 208, 236, 250, 253, 256, 274, 279, 285, 286, 290, 311, 312, 313, 334, 341, 344, 351]
Amaranth;immortality;0;[];[]
Amaryllis;pride;0;[];[]
Ambrosia;love is reciprocated;3;[13, 20, 39, 44, 62, 67, 94, 98, 106, 115, 120, 138, 145, 147, 154, 163, 172, 181, 200, 205, 206, 208, 236, 250, 253, 256, 274, 286, 290, 311, 313, 334, 341, 344, 351];[13, 20, 23, 24, 26, 28, 32, 39, 44, 61, 62, 63, 67, 69, 70, 92, 94, 98, 106, 115, 116, 120, 138, 145, 147, 154, 163, 167, 172, 181, 187, 199, 200, 205, 206, 208, 236, 250, 253, 256, 274, 279, 285, 286, 290, 300, 311, 312, 313, 334, 341, 344, 351]
Anemone;forsaken;0;[344];[344]
Anemone; sickness (negative);0;[];[166, 188]
Anemone; anticipation;1;[];[]
Anemone; undying love;3;[98, 274, 311];[20, 32, 39, 44, 62, 63, 67, 94, 98, 106, 115, 120, 138, 145, 147, 154, 181, 187, 200, 205, 206, 208, 236, 250, 253, 256, 274, 279, 285, 286, 290, 311, 312, 313, 334, 341, 344, 351]
Angrec;royalty;0;[];[]
Anthurium;hospitality;0;[];[]
Anthurium; happiness;3;[];[191, 289]
Anthurium; abundance;0;[];[]
Apple blossom;preference;0;[];[]
Arborvitae;everlasting friendship;0;[];[67, 236, 238, 268, 313, 316]
Arbutus;you are the only one i love;3;[36, 62, 95, 154, 181, 256, 286, 290, 341];[24, 26, 32, 36, 39, 44, 61, 62, 63, 67, 70, 92, 94, 95, 98, 106, 115, 120, 138, 145, 147, 154, 163, 172, 181, 187, 199, 200, 205, 206, 208, 236, 250, 253, 256, 274, 279, 285, 286, 290, 311, 312, 313, 334, 341, 344, 351]
Arum;faith;1;[122, 192, 331];[122, 192, 331]
Arum; purity;0;[34, 66, 119, 121, 152, 184, 196, 257, 260];[34, 35, 66, 119, 121, 152, 182, 184, 196, 257, 260]
Asphodel;my regrets follow you to the grave;-4;[82, 350];[28, 62, 82, 89, 105, 112, 115, 116, 160, 167, 172, 181, 250, 251, 256, 263, 286, 290, 292, 293, 350]
