Flower;Color;Meaning
Acacia;;Secret love
Acanthus;;Art
Aconite;;Misanthropy
Agrimony;;Thankfulness
Aloe;;Grief
Almond;;Promise
Amaranth (Globe);;Immortal love
Amaranth;;Immortality [1]
Amaryllis;;Pride
Ambrosia;;Love is reciprocated
Anemone;;Forsaken, sickness (negative), anticipation, undying love
Angrec;;Royalty
Anthurium;;Hospitality, happiness, abundance
Apple blossom;;Preference
Arborvitae;;Everlasting friendship
Arbutus;;You are the only one I love
Arum;;Faith, purity
Asphodel;;My regrets follow you to the grave
Aster;;Symbol of love, daintiness, talisman of love, trusting
Azalea;;Take care, temperance, fragile, gratitude, passion, Chinese symbols of womanhood
Baby's breath;;Innocence, purity of heart
Bachelor button;;Single blessedness, celibacy
Balm;;Social intercourse or sympathy
Balsam;;Ardent love
Balsamine;;Impatience
Bay wreath;;Glory
Begonia;;Beware, a fanciful nature
Bellflower;;Unwavering Love
Bells of Ireland;;Luck
Bird's-foot trefoil;;Revenge
Bird of paradise flower;;Liberty, magnificence, good perspective, faithfulness (given by a man to a woman)
Box;;Constancy
Borage;;Courage
Broom;;Humility
Bulrush;;Docility
Bumblebee Orchid;;Industry
Buttercup;;Riches
Cabbage;;Profit
Camellia japonica;;Unpretending excellence
Campanula;;Gratitude
Canterbury Bells;;Gratitude
Carnation;general;"Fascination; distinction; love"
;red;Deep romantic love, passion
;green;Secret symbol of the followers of Oscar Wilde
;white;Sweet and lovely, innocence, pure love, faithfulness
;pink;A woman's love, a mother's love
;yellow;Rejection, disdain, disappointment
;purple;Capriciousness, whimsical, changeable, unreliability
;mauve;Dreams of fantasy
;striped;Refusal
;solid color;Yes, affirmative
Celandine;;Joys to come
Cherry blossom;;A good education
;;Transience of life, Mono no aware, Wabi-sabi, gentleness, kindness (in Japan)
;;Feminine beauty (in China)
Chestnut;;Do me justice, Chastity
China aster;;Love of variety, fidelity
Chrysanthemum;red;I love
;yellow;Precious one
Coreopsis;;Always cheerful
Cowslip;;Winning grace
Clove;;Undying love
Clover;red;Industry
;white;I promise
Columbine;;The emblem of deceived lovers, ingratitude, faithlessness
Coriander;;Lust
Crocus;;Youthful joy, love, abuse not, Lupercalia
Cypress;;Death, mourning, despair, sorrow.
Daffodil;;"Uncertainty, chivalry, respect or unrequited love, return my affection; new beginnings"
Dahlia;;Elegance and dignity
Red Dahlia;;Betrayal and dishonesty
Daisy;general;"Innocence, loyal love, purity, faith, cheer, simplicity; or, dissembling as in Shakespeare's Hamlet"
;red;Beauty unknown to possessor
Dandelion;;overcoming hardship
Delphinium;;Levity, fun, big-hearted, ardent attachment, joy
Eglantine rose;;A wound to heal
Elderflower;;Compassion
Fennel;;Strength or, as in Shakespeare's Hamlet, a Cuckold[2]
Forget-me-not;;True love, don't forget me
Foxglove;;Insecurity[3]
Fungus;;Resilience, loneliness, solitude, disgust
Gardenia;;Secret love, joy, sweet love, good luck
Geranium;;Gentility, determination
Gladiolus;;Strength of character, honor, conviction
Gorse;;Love in all seasons
Heather;purple;Solitude, beauty, admiration
;white;Protection
Heliotrope;;Devotion
Hibiscus;;Rare and delicate beauty
Hollyhock;;Ambition
Honeysuckle;;Devoted affection, bonds of love
Houseleek;;Domestic economy
Hydrangea;;Frigidness, heartlessness (negative), heartfelt gratitude for being understood
Iris;;Good news
Ivy;;Dependence, endurance, faithfulness
Jasmine;;Unconditional and eternal love (in the Philippines and Hinduism)
Jonquil;;Return my affection
Laurel;;Ambition, success, renown
Laurestine;;A token
Lavender;;Devotion, distrust
Lemon blossom;;Discretion
Lilac;purple;First emotion of love
;white;Youthful innocence, memories
Lily;white;Purity
;scarlet;High-souled aspirations
;orange;Desire, passion, hatred (negative)
Lily of the valley;;Sweetness, humility, returning happiness, Trust
Linaria bipartita;;Please notice my love/feelings for you
Lime blossom;;Fornication
Lobelia;;Malevolence
